Order_ID,Date,Product,Category,Region,Quantity,Price,Cost
1001,2024-01-05,Laptop,Electronics,North,2,800,600
1002,2024-01-07,Phone,Electronics,South,5,500,350
1003,2024-01-10,Tablet,Electronics,East,3,300,200
1004,2024-01-12,Headphones,Accessories,West,4,100,60
1005,2024-02-01,Keyboard,Accessories,North,6,50,30
1006,2024-02-03,Mouse,Accessories,South,8,30,15
1007,2024-02-10,Laptop,Electronics,East,1,850,620
1008,2024-02-15,Phone,Electronics,West,4,520,360
1009,2024-03-01,Tablet,Electronics,North,2,310,210
1010,2024-03-05,Headphones,Accessories,South,7,90,55
1011,2024-03-12,Keyboard,Accessories,East,5,55,35
1012,2024-03-15,Mouse,Accessories,West,10,25,12
1013,2024-04-01,Laptop,Electronics,North,3,820,610
1014,2024-04-07,Phone,Electronics,South,6,510,355
1015,2024-04-12,Tablet,Electronics,East,4,320,215
1016,2024-04-18,Headphones,Accessories,West,5,95,58
1017,2024-05-02,Keyboard,Accessories,North,7,60,40
1018,2024-05-05,Mouse,Accessories,South,9,28,14
1019,2024-05-10,Laptop,Electronics,East,2,830,620
1020,2024-05-15,Phone,Electronics,West,5,530,370
